CONSTR,E212,BK,40.695633,-73.925899,304,34,8037755,1/29/2018,3338467,3032540004
ABATE,E212,BK,40.697375,-73.996495,302,33,8037752,1/29/2018,3001742,3002347503
ALT,E212,BK,40.693834,-73.991673,302,33,8037751,1/29/2018,3002106,3002500034
ALT,E212,BK,40.695838,-73.992452,302,33,8037750,1/29/2018,3001923,3002380019
CONSTR,E212,BK,,,,,8037749,1/29/2018,3414079,
CONSTR,E212,BK,40.689909,-73.955911,303,36,8037748,1/29/2018,3055418,3019420005
CONSTR,E212,BK,,,,,8037745,1/29/2018,3856216,
SPECIAL-OTH,E018,QN,,,,,8037742,1/29/2018,4799274,
SPECIAL-OTH,E018,QN,,,,,8037741,1/29/2018,4799282,
SPECIAL-OTH,E018,QN,,,,,8037740,1/29/2018,4799281,
OTHER,E090,BX,,,,,8037738,1/30/2018,2117649,
OTHER,L136,QN,40.721851,-73.872571,405,30,8037737,1/30/2018,4547192,4029940020
OTHER,L136,QN,40.721851,-73.872571,405,30,8037736,1/30/2018,4475340,4029940020
CONSTR,E036,MN,,,,,8037735,1/30/2018,1088832,
ALT,E036,MN,40.748014,-73.979078,106,4,8037734,1/30/2018,1018947,1008920015
ALT,E212,BK,40.697844,-73.924231,304,37,8037732,1/29/2018,3074100,3032550008
CONSTR,E212,BK,40.712446,-73.955625,301,34,8037731,1/29/2018,3256351,3023840125
CONSTR,E212,BK,,,,,8037730,1/29/2018,3062495,
ALT,E212,BK,,,,,8037729,1/29/2018,3062511,
CONSTR,E212,BK,40.709598,-73.951216,301,34,8037728,1/29/2018,3063055,3024130017
ALT,E212,BK,40.693851,-73.992809,302,33,8037727,1/29/2018,3329458,3002490001
1935-10-01T00:00:00.000,L055,BX,40.824624,-73.908832,203,17,8037726,1/30/2018,2001228,2023680039
COM_OCPCY,E156,SI,40.620371,-74.099373,501,49,8037725,1/30/2018,5006536,5002400026
SPECIAL-OTH,E221,BK,,,,,8037724,1/30/2018,3421412,
ABATE,E036,MN,40.759149,-73.979645,105,4,8037723,1/30/2018,1076262,1012657501
ABATE,E036,MN,40.758419,-73.97984,105,4,8037722,1/30/2018,1077286,1012640005
CONSTR,E036,MN,,,,,8037721,1/30/2018,1034488,
DEMO,E036,MN,,,,,8037720,1/30/2018,1022692,
ALT,E036,MN,40.757333,-73.983483,105,4,8037719,1/30/2018,1022639,1009980023
SPECIAL-OTH,E221,BK,40.707812,-73.968833,301,33,8037718,1/30/2018,3251678,3021340001
DEMO,E036,MN,40.760336,-73.969227,106,4,8037717,1/30/2018,1036875,1013110020
OTHER,E014,MN,40.740303,-73.991884,105,3,8037716,1/30/2018,1015495,1008227501
SPECIAL-OTH,E221,BK,40.70791,-73.967589,301,33,8037715,1/30/2018,3059561,3021350001
ALT,E036,MN,40.74264,-73.97921,106,2,8037714,1/30/2018,1019938,1009100052
ALT,E036,MN,40.74059,-73.980845,106,2,8037713,1/30/2018,1019849,1009070011
DEMO,E036,MN,40.744191,-73.984792,105,2,8037712,1/30/2018,1016918,1008580054
DEMO,E036,MN,40.744142,-73.984677,105,2,8037711,1/30/2018,1016917,1008580053
DEMO,E036,MN,40.744112,-73.984601,105,2,8037710,1/30/2018,1016916,1008580052
COM_OCPCY,E094,BX,40.818578,-73.887755,202,17,8037709,1/30/2018,2006440,2027620054
SPECIAL-OTH,E239,BK,40.671793,-73.986936,306,39,8037708,1/30/2018,3420412,3009930006
SPECIAL-OTH,E239,BK,40.672905,-73.986117,306,39,8037707,1/30/2018,3393449,3009817501
COMPLAINT,E074,MN,40.78935,-73.978253,107,6,8037701,1/30/2018,1033940,1012480027
COM_OCPCY,E303,QN,40.69805,-73.806581,412,28,8037700,1/30/2018,4214489,4100260009
SPECIAL-OTH,L160,QN,40.749295,-73.752248,411,23,8037695,1/30/2018,4452801,4076480002
OTHER,L030,MN,40.811466,-73.943844,110,9,8037694,1/30/2018,1058039,1019150025
COM_OCPCY,E292,QN,40.746724,-73.8939,403,25,8037689,1/30/2018,4029758,4012820149
COM_OCPCY,E292,QN,40.746724,-73.8939,403,25,8037687,1/30/2018,4029758,4012820149
SPECIAL-OTH,E329,QN,40.55688,-73.920731,414,32,8037686,1/30/2018,4467081,4163500400
COMPLAINT,L121,QN,40.59631,-73.79482,414,31,8037685,1/30/2018,4302630,4160320044
ALT,E212,BK,40.690069,-73.951273,303,36,8037684,1/29/2018,3049777,3017840098
OTHER,L107,BK,40.650929,-73.870029,305,42,8037678,1/30/2018,3348836,3044520550
CONSTR,E204,MN,,,,,8037666,1/30/2018,1087611,
COM_OCPCY,E271,BK,40.701161,-73.914536,304,37,8037665,1/30/2018,3075753,3033100039
CONSTR,E212,BK,,,,,8037662,1/29/2018,3074078,
CONSTR,E212,BK,,,,,8037660,1/29/2018,3395556,
1935-10-01T00:00:00.000,L107,BK,40.659345,-73.868704,305,42,8037655,1/30/2018,3346449,3044520425
SPECIAL-OTH,E242,BK,40.621599,-74.028479,310,43,8037651,1/30/2018,3153753,3060500007
ABATE,E036,MN,40.75938,-73.982067,105,4,8037648,1/30/2018,1022693,1010010029
COMPLAINT,L050,BX,,,,,8037647,1/30/2018,2123261,2200379999
ABATE,E036,MN,40.745871,-73.981493,105,2,8037646,1/30/2018,1018472,1008880001
ALT,E278,BK,40.580257,-73.953207,315,48,8037645,1/30/2018,3245815,3087260062
COM_OCPCY,E271,BK,40.700947,-73.914162,304,37,8037640,1/30/2018,3338489,3033190030
COM_OCPCY,E271,BK,40.700895,-73.914068,304,37,8037639,1/30/2018,3075960,3033190031
SPECIAL-OTH,E018,QN,,,,,8037637,1/26/2018,4798017,
SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037635,1/26/2018,4798014,4142600001
SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037634,1/26/2018,4798016,4142600001
SPECIAL-OTH,E018,QN,,,,,8037633,1/26/2018,4798018,
SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037632,1/26/2018,4798022,4142600001
SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037631,1/26/2018,4798023,4142600001
ABATE,E036,MN,40.758625,-73.966672,106,4,8037629,1/30/2018,1038579,1013290017
ABATE,E036,MN,40.743547,-73.973418,106,4,8037628,1/30/2018,1085695,1009627501
ABATE,E036,MN,,,,,8037627,1/30/2018,1020609,
CONSTR,E278,BK,40.583511,-73.958011,315,48,8037626,1/30/2018,3247973,3088100068
E-CIDS,E094,BX,40.818578,-73.887755,202,17,8037625,1/30/2018,2006440,2027620054
COMPLAINT,E247,BK,40.630276,-73.99389,312,44,8037623,1/30/2018,3139777,3056840044
ALT,E204,MN,40.818762,-73.944607,110,9,8037621,1/30/2018,1060322,1020240064
